FILIAL,ENDERECO,CIDADE,CEP,JANEIRO,FEVEREIRO,MARCO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,YTD,LOCALIZACAO
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,230,262,284,283,188,263,502,524,515,510,516,532,4609,POINT (-87.74769 41.8953)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,674,579,772,651,619,648,835,713,660,703,602,585,8041,POINT (-87.61425 41.75111)
Downloadable Media,,,,210184,192686,209752,207739,219205,213283,232207,242096,226457,232472,233684,243533,2663298,POINT (-89.64361 39.8013)
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,1891,1810,2255,2429,2264,2207,2150,1960,2021,2257,1970,1788,25002,POINT (-87.64312 41.72056)
Beverly,1962 W. 95th St.,Chicago,60643,3164,2673,1250,0,18,1979,3365,3149,3069,2887,2806,2601,26961,POINT (-87.6723 41.72114)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2341,2131,2628,2690,2049,2432,2505,2377,2259,2054,2099,1778,27343,POINT (-87.72663 41.8007)
Manning,6 S. Hoyne Ave.,Chicago,60612,574,652,1026,924,1185,1063,1401,1218,1080,976,972,798,11869,POINT (-87.67908 41.88102)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7234,6544,7336,7355,6531,7217,7174,6970,6616,6126,6129,5785,81017,POINT (-87.5902 41.80763)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,3109,3247,3960,3581,3264,3588,3750,3966,3318,3273,3330,3145,41531,POINT (-87.7547 41.93873)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,2996,2710,3272,2979,2403,3115,3489,3309,2879,3210,3199,2353,35914,POINT (-87.78589 41.93685)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1236,1032,1378,1457,1328,1362,1462,1587,1246,1298,1230,951,15567,POINT (-87.58584 41.74633)
Edgewater,6000 N. Broadway St.,Chicago,60660,10727,9679,11340,10747,9700,10825,11022,10531,9957,9925,10431,9355,124239,POINT (-87.66032 41.9912)
South Shore,2505 E. 73rd St.,Chicago,60649,836,806,950,953,859,867,927,1035,747,970,863,834,10647,POINT (-87.56397 41.76264)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,453,404,478,392,535,593,729,695,557,492,476,649,6453,POINT (-87.72561 41.87932)
Hall,4801 S. Michigan Ave.,Chicago,60615,611,532,510,600,732,577,756,783,714,593,421,681,7510,POINT (-87.6228 41.8073)
Back of the Yards,2111 W. 47th St.,Chicago,60609,771,836,1141,1244,1048,1254,1117,1232,959,989,790,861,12242,POINT (-87.67763 41.80849)
Vodak-East Side,3710 E. 106th St.,Chicago,60617,1472,1214,1611,1465,1271,1423,1903,2191,2381,1879,1614,1469,19893,POINT (-87.53351 41.70274)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,2572,2357,2641,2450,2175,2778,2735,2729,2599,2703,2486,2337,30562,POINT (-87.7381 41.96812)
Auto-Renewals,,,,511436,445609,516133,504009,559180,512518,530951,555741,516317,588190,557173,539322,6336579,POINT (-89.64361 39.8013)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,2971,2868,3669,3378,3286,3986,3897,3797,3308,3221,3386,2744,40511,POINT (-87.81368 41.94307)
West Pullman,830 W. 119th St.,Chicago,60643,592,700,686,817,641,750,732,720,900,761,577,578,8454,POINT (-87.64311 41.6778)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,5166,4381,5378,5447,4609,5215,5317,5309,4772,4565,4856,4606,59621,POINT (-87.76179 41.96762)
Sherman Park,5440 S. Racine Ave.,Chicago,60609,119,196,224,235,245,197,320,260,301,237,261,262,2857,POINT (-87.65489 41.79485)
Altgeld,955 E. 131st St.,Chicago,60827,150,139,179,289,297,198,257,229,314,223,173,193,2641,POINT (-87.59861 41.65728)
North Austin,5724 W. North Ave.,Chicago,60639,477,552,513,537,497,541,855,572,661,631,468,428,6732,POINT (-87.76886 41.90933)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1400,1168,1547,1730,1323,1634,1706,1619,1710,1466,1206,956,17465,POINT (-87.70518 41.84951)
Near North,310 W. Division St.,Chicago,60610,7192,6226,4761,0,0,1704,295,3514,5555,6073,6155,5285,46760,POINT (-87.63663 41.90379)
Water Works,163 E. Pearson Street,Chicago,60611,2506,2130,2934,3719,3810,3914,4136,3739,2926,2869,2801,2826,38310,POINT (-87.62308 41.89759)
Uptown,929 W. Buena Ave.,Chicago,60613,5798,4934,6186,4648,0,1351,5432,5789,5401,5119,5124,4925,54707,POINT (-87.65422 41.95843)
Patron Initiated renewals (automated phone),,,,890,708,809,615,799,894,676,625,523,744,761,536,8580,POINT (-89.64361 39.8013)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,8411,7519,8607,8530,7528,8274,8496,8883,8856,8178,8481,7104,98867,POINT (-87.68036 41.91225)
Jeffery Manor,2401 E. 100th St.,Chicago,60617,346,487,508,401,388,537,634,524,422,453,339,296,5335,POINT (-87.56556 41.71352)
Albany Park,3401 W. Foster Ave.,Chicago,60625,5561,5082,5921,5671,4666,5392,5985,5697,5316,4955,5416,4824,64486,POINT (-87.71357 41.9757)
